Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 01/11  02:00:00,967.871893,96.21671978,523.2614107,0,46.09303362,113.3127805,519.0931164,496.0049892,5.664669961,17.42345729
 01/11  03:00:00,968.6139894,96.21671978,523.5446272,0,46.09303362,113.3127805,522.9451681,499.8579392,5.664669961,17.42255899
 01/11  04:00:00,969.1301074,96.21671978,526.8240596,0,46.09303362,113.3127805,517.9537037,503.5661216,5.664669961,8.722912084
 01/11  05:00:00,1059.512611,96.21671978,530.6712046,0,100.1506573,148.9693994,507.5037499,484.4162919,5.664669961,17.42278805
 01/11  06:00:00,1053.570054,96.63259715,535.4795973,0,100.1506573,149.8943994,818.3806817,786.7958468,14.1616749,17.42316002
 01/11  07:00:00,1275.017032,97.37393567,539.7995617,0,176.4710373,302.6124365,597.9049887,552.1604754,28.3233498,17.42116348
 01/11  08:00:00,1373.693984,98.5768911,545.2490968,0,243.2593065,310.1097119,570.3386198,510.2570948,42.48502471,17.59650025
 01/11  09:00:00,1413.044442,99.13599327,553.0219414,0,243.2593065,310.1097119,592.034563,500.0193059,56.64669961,35.3685575
 01/11  10:00:00,1453.561735,99.62724018,560.9742732,0,243.2593065,302.6124365,567.8090782,489.8174951,42.48502471,35.50655838
 01/11  11:00:00,1466.862283,100.0966341,566.229306,0,243.2593065,310.1097119,583.8648578,468.3875064,70.80837451,44.66897684
 01/11  12:00:00,1470.868797,100.3574208,568.8184811,0,243.2593065,310.1097119,573.3579389,466.7458369,70.80837451,35.80372747
 01/11  13:00:00,1426.405298,100.6835668,565.943764,0,243.2593065,310.1097119,574.6225863,459.318857,70.80837451,44.49535475
 01/11  14:00:00,1459.146556,101.0588742,561.6342051,0,243.2593065,302.6124365,549.8878322,448.4820795,56.64669961,44.75905306
 01/11  15:00:00,1462.08066,101.3140363,559.7897728,0,243.2593065,302.6124365,524.5595536,446.3469845,42.48502471,35.7275444
 01/11  16:00:00,1470.121119,101.5763449,556.7378788,0,243.2593065,302.6124365,543.1076301,441.8912729,56.64669961,44.56965757
