Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 03/17  04:00:00,1088.509637,96.21671978,607.1670211,0,100.1506573,148.9693994,447.5313238,424.452085,5.664669961,17.41456877
 03/17  05:00:00,1087.799555,96.94086156,604.8461498,0,100.1506573,149.8943994,608.3804408,585.5002602,14.1616749,8.718505636
 03/17  06:00:00,1317.958161,99.5599832,604.4007807,0,176.4710373,302.6124365,484.4170736,438.6755726,28.3233498,17.41815117
 03/17  07:00:00,1424.785446,101.1681458,602.3428123,0,243.2593065,310.1097119,473.311587,404.4617842,42.48502471,26.3647781
 03/17  08:00:00,1461.020735,101.8427723,596.2584326,0,243.2593065,310.1097119,463.4113706,380.2590311,56.64669961,26.5056399
 03/17  09:00:00,1487.248651,102.1499759,588.3670538,0,243.2593065,302.6124365,455.3172533,377.3579333,42.48502471,35.47429529
 03/17  10:00:00,1482.421641,102.507414,574.7418599,0,243.2593065,310.1097119,482.5923556,367.3262742,70.80837451,44.45770693
 03/17  11:00:00,1475.554295,102.9451823,565.5722397,0,243.2593065,310.1097119,465.4213782,358.7008741,70.80837451,35.91212962
 03/17  12:00:00,1431.146959,103.4116618,562.1901052,0,243.2593065,310.1097119,462.8783469,356.4971851,70.80837451,35.57278729
 03/17  13:00:00,1459.846907,103.9613203,556.6081786,0,243.2593065,302.6124365,451.8338863,350.4904121,56.64669961,44.69677455
 03/17  14:00:00,1458.117502,104.5769984,554.0382982,0,243.2593065,302.6124365,432.0186598,344.9202851,42.48502471,44.61335001
 03/17  15:00:00,1453.81596,105.2913631,548.7205168,0,243.2593065,302.6124365,428.4452914,336.1889359,56.64669961,35.6096558
 03/17  16:00:00,1455.764117,106.4116055,542.5233034,0,243.2593065,310.1097119,438.6784635,318.2921468,84.97004941,35.41626721
 03/17  17:00:00,1457.554316,106.8701907,543.9006134,0,243.2593065,310.1097119,422.4068738,319.9091698,84.97004941,17.52765463
 03/17  18:00:00,1206.649747,96.21671978,570.0984336,0,166.9389264,199.1109338,439.7739408,337.3384695,84.97004941,17.4654219
 03/17  19:00:00,1217.980971,96.21671978,573.4900857,0,166.9389264,191.6136585,426.3645211,352.2529929,56.64669961,17.4648286
